@relation AngelDaten-weka.filters.supervised.instance.Resample-B0.9-S1-Z100.0-no-replacement-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute 0_wasser_temperatur numeric
@attribute 0_luft_temperatur numeric
@attribute 0_relative_luft_feuchte numeric
@attribute 0_boden_temperatur_5cm numeric
@attribute 0_boden_temperatur_10cm numeric
@attribute 0_boden_temperatur_20cm numeric
@attribute 0_boden_temperatur_50cm numeric
@attribute 0_boden_temperatur_100cm numeric
@attribute 0_wind_staerke numeric
@attribute 0_wind_richtung numeric
@attribute 0_sonnen_stunden numeric
@attribute 0_niederschlag_menge numeric
@attribute 1_wasser_temperatur numeric
@attribute 1_luft_temperatur numeric
@attribute 1_relative_luft_feuchte numeric
@attribute 1_boden_temperatur_5cm numeric
@attribute 1_boden_temperatur_10cm numeric
@attribute 1_boden_temperatur_20cm numeric
@attribute 1_boden_temperatur_50cm numeric
@attribute 1_boden_temperatur_100cm numeric
@attribute 1_wind_staerke numeric
@attribute 1_wind_richtung numeric
@attribute 1_sonnen_stunden numeric
@attribute 1_niederschlag_menge numeric
@attribute 2_wasser_temperatur numeric
@attribute 2_luft_temperatur numeric
@attribute 2_relative_luft_feuchte numeric
@attribute 2_boden_temperatur_5cm numeric
@attribute 2_boden_temperatur_10cm numeric
@attribute 2_boden_temperatur_20cm numeric
@attribute 2_boden_temperatur_50cm numeric
@attribute 2_boden_temperatur_100cm numeric
@attribute 2_wind_staerke numeric
@attribute 2_wind_richtung numeric
@attribute 2_sonnen_stunden numeric
@attribute 2_niederschlag_menge numeric
@attribute datum_monat_tag numeric
@attribute fangzeit_24_stunden numeric
@attribute class {Karpfen,Forelle,Brachse,Barbe,Hecht,Aal}

@data
0.463415,0.394619,0.101449,0.316547,0.359848,0.431718,0.433526,0.335526,0.794118,0.193548,0.944828,0,0.45,0.317647,0.430556,0.316981,0.355469,0.410959,0.385475,0.324675,0.4,0.181818,0.938776,0,0.467532,0.209091,0.442857,0.262357,0.311024,0.388889,0.372973,0.318471,0.469388,0.28125,0.734694,0,0.319728,0.716667,Forelle
0,0.170404,0,0,0,0,0,0,0.647059,0,0.737931,0,0,0.290196,0.083333,0,0,0,0,0,0.355556,0.121212,0.714286,0,0,0.254545,0.2,0,0,0,0,0,0.714286,0.25,0.612245,0,0,0.333333,Forelle
0.396341,0.363229,0.405797,0.31295,0.329545,0.356828,0.346821,0.269737,0.382353,0.580645,0.606897,0,0.4125,0.333333,0.305556,0.241509,0.28125,0.324201,0.318436,0.266234,0.288889,0.666667,0.428571,0,0.428571,0.331818,0.514286,0.224335,0.244094,0.300926,0.335135,0.261146,0.081633,0.90625,0,0,0.14966,0.333333,Forelle
0.554878,0.219731,0.753623,0.413669,0.44697,0.493392,0.491329,0.5,0.176471,0.064516,0.813793,0,0.49375,0.207843,0.791667,0.116981,0.171875,0.305936,0.47486,0.525974,0.133333,1,0,0,0.571429,0.068182,0.871429,0.117871,0.188976,0.356481,0.540541,0.535032,0.346939,0.84375,0,1,0.352041,0.716667,Forelle
0.902439,0.439462,0.797101,0.690647,0.806818,0.977974,0.976879,0.75,0.117647,0.387097,1,0,0.88125,0.45098,0.736111,0.671698,0.785156,0.954338,0.893855,0.720779,0.133333,0.30303,0.993197,0,0.88961,0.395455,0.842857,0.642586,0.755906,0.935185,0.837838,0.694268,0.040816,0.34375,0.897959,0,0.493197,0.833333,Brachse
0.865854,0.457399,0.681159,0.640288,0.75,0.9163,0.971098,0.875,0.352941,0.483871,0.827586,0,0.8375,0.486275,0.611111,0.483019,0.570313,0.771689,0.921788,0.87013,0.422222,0.666667,0.136054,0.0625,0.948052,0.372727,0.728571,0.623574,0.744094,0.949074,0.924324,0.840764,0.040816,0.375,0.727891,0,0.658163,0.833333,Brachse
0.609756,0.29148,0.927536,0.388489,0.458333,0.599119,0.676301,0.644737,0,0.354839,0.427586,0.026667,0.575,0.196078,0.833333,0.343396,0.429687,0.56621,0.603352,0.649351,0.088889,0.30303,0.768707,0,0.584416,0,1,0.212928,0.307087,0.472222,0.578378,0.66242,0.040816,0.3125,0.333333,0,0.522109,1,Brachse
0.585366,0.591928,0.681159,0.665468,0.700758,0.757709,0.763006,0.703947,0.264706,0.129032,0.689655,0.133333,0.54375,0.454902,0.694444,0.464151,0.503906,0.607306,0.703911,0.701299,0.155556,0.363636,0.176871,0.28125,0.616883,0.322727,0.814286,0.501901,0.570866,0.694444,0.686486,0.687898,0.122449,0.40625,0.605442,0.06,0.515306,0.716667,Brachse
1,1,0.101449,1,1,1,0.99422,0.789474,0.441176,1,0.944828,0,1,1,0,1,1,1,0.921788,0.753247,0.533333,0.333333,1,0,1,1,0,1,1,1,0.87027,0.719745,0.408163,0.375,0.993197,0,0.494898,0.191667,Brachse
0.859756,0.591928,0.362319,0.654676,0.704545,0.819383,0.988439,0.993421,0.294118,0.483871,0.510345,0,0.90625,0.647059,0.208333,0.74717,0.78125,0.872146,0.955307,1,0.311111,0,0.489796,0,0.993506,0.572727,0.614286,0.593156,0.649606,0.824074,0.972973,1,1,1,0.061224,0,0.819728,0.333333,Brachse
