@relation 'AngelDaten-weka.filters.unsupervised.attribute.Discretize-V-B20-M-1.0-R39-weka.filters.unsupervised.attribute.Remove-R2,4-5,7-10,12-14,19-27,29,31-38'

@attribute 0_wasser_temperatur {'\'(-inf-8.82]\'','\'(8.82-9.64]\'','\'(9.64-10.46]\'','\'(10.46-11.28]\'','\'(11.28-12.1]\'','\'(12.1-12.92]\'','\'(12.92-13.74]\'','\'(13.74-14.56]\'','\'(14.56-15.38]\'','\'(15.38-16.2]\'','\'(16.2-17.02]\'','\'(17.02-17.84]\'','\'(17.84-18.66]\'','\'(18.66-19.48]\'','\'(19.48-20.3]\'','\'(20.3-21.12]\'','\'(21.12-21.94]\'','\'(21.94-22.76]\'','\'(22.76-23.58]\'','\'(23.58-inf)\''}
'\'(17.84-18.66]\'','\'(91.1-94.55]\'','\'(20.985-22.12]\'','\'(6-6.725]\'','\'(83.4-87.3]\'','\'(20.23-21.635]\'','\'(21.18-22.465]\'','\'(20.545-21.64]\'','\'(16.36-17.75]\'','\'(17.12-18.2]\'',Brachse
'\'(20.3-21.12]\'','\'(63.5-66.95]\'','\'(24.39-25.525]\'','\'(9.625-10.35]\'','\'(79.5-83.4]\'','\'(23.04-24.445]\'','\'(23.75-25.035]\'','\'(21.64-22.735]\'','\'(19.14-20.53]\'','\'(20.36-21.44]\'',Karpfen
'\'(13.74-14.56]\'','\'(56.6-60.05]\'','\'(15.31-16.445]\'','\'(10.35-11.075]\'','\'(52.2-56.1]\'','\'(14.61-16.015]\'','\'(14.755-16.04]\'','\'(13.975-15.07]\'','\'(12.19-13.58]\'','\'(12.8-13.88]\'',Barbe
'\'(18.66-19.48]\'','\'(87.65-91.1]\'','\'(20.985-22.12]\'','\'(2.375-3.1]\'','\'(67.8-71.7]\'','\'(24.445-25.85]\'','\'(25.035-26.32]\'','\'(23.83-24.925]\'','\'(24.7-26.09]\'','\'(24.68-25.76]\'',Karpfen
'\'(18.66-19.48]\'','\'(66.95-70.4]\'','\'(20.985-22.12]\'','\'(2.375-3.1]\'','\'(91.2-95.1]\'','\'(23.04-24.445]\'','\'(23.75-25.035]\'','\'(23.83-24.925]\'','\'(23.31-24.7]\'','\'(23.6-24.68]\'',Barbe
'\'(20.3-21.12]\'','\'(87.65-91.1]\'','\'(25.525-26.66]\'','\'(12.525-13.25]\'','\'(87.3-91.2]\'','\'(23.04-24.445]\'','\'(25.035-26.32]\'','\'(23.83-24.925]\'','\'(21.92-23.31]\'','\'(21.44-22.52]\'',Karpfen
'\'(21.12-21.94]\'','\'(91.1-94.55]\'','\'(26.66-27.795]\'','\'(12.525-13.25]\'','\'(87.3-91.2]\'','\'(25.85-27.255]\'','\'(27.605-28.89]\'','\'(26.02-27.115]\'','\'(26.09-27.48]\'','\'(25.76-26.84]\'',Karpfen
'\'(21.94-22.76]\'','\'(91.1-94.55]\'','\'(26.66-27.795]\'','\'(12.525-13.25]\'','\'(95.1-inf)\'','\'(25.85-27.255]\'','\'(27.605-28.89]\'','\'(26.02-27.115]\'','\'(24.7-26.09]\'','\'(25.76-26.84]\'',Karpfen
'\'(21.94-22.76]\'','\'(91.1-94.55]\'','\'(26.66-27.795]\'','\'(12.525-13.25]\'','\'(95.1-inf)\'','\'(25.85-27.255]\'','\'(27.605-28.89]\'','\'(26.02-27.115]\'','\'(24.7-26.09]\'','\'(25.76-26.84]\'',Aal
'\'(20.3-21.12]\'','\'(87.65-91.1]\'','\'(25.525-26.66]\'','\'(11.8-12.525]\'','\'(83.4-87.3]\'','\'(24.445-25.85]\'','\'(26.32-27.605]\'','\'(26.02-27.115]\'','\'(24.7-26.09]\'','\'(25.76-26.84]\'',Karpfen
'\'(20.3-21.12]\'','\'(91.1-94.55]\'','\'(25.525-26.66]\'','\'(11.8-12.525]\'','\'(79.5-83.4]\'','\'(21.635-23.04]\'','\'(25.035-26.32]\'','\'(24.925-26.02]\'','\'(23.31-24.7]\'','\'(25.76-26.84]\'',Karpfen
'\'(20.3-21.12]\'','\'(80.75-84.2]\'','\'(24.39-25.525]\'','\'(8.175-8.9]\'','\'(87.3-91.2]\'','\'(24.445-25.85]\'','\'(26.32-27.605]\'','\'(26.02-27.115]\'','\'(23.31-24.7]\'','\'(25.76-26.84]\'',Karpfen
'\'(19.48-20.3]\'','\'(94.55-inf)\'','\'(22.12-23.255]\'','\'(11.8-12.525]\'','\'(91.2-95.1]\'','\'(18.825-20.23]\'','\'(21.18-22.465]\'','\'(21.64-22.735]\'','\'(16.36-17.75]\'','\'(19.28-20.36]\'',Hecht
'\'(12.92-13.74]\'','\'(42.8-46.25]\'','\'(14.175-15.31]\'','\'(5.275-6]\'','\'(52.2-56.1]\'','\'(18.825-20.23]\'','\'(16.04-17.325]\'','\'(12.88-13.975]\'','\'(12.19-13.58]\'','\'(11.72-12.8]\'',Hecht
