@relation AngelDaten-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Standardize

@attribute 0_wasser_temperatur numeric
@attribute 0_luft_temperatur numeric
@attribute 0_relative_luft_feuchte numeric
@attribute 0_boden_temperatur_5cm numeric
@attribute 0_boden_temperatur_10cm numeric
@attribute 0_boden_temperatur_20cm numeric
@attribute 0_boden_temperatur_50cm numeric
@attribute 0_boden_temperatur_100cm numeric
@attribute 0_wind_staerke numeric
@attribute 0_wind_richtung numeric
@attribute 0_sonnen_stunden numeric
@attribute 0_niederschlag_menge numeric
@attribute datum_monat_tag numeric
@attribute fangzeit_24_stunden numeric
@attribute class {Karpfen,Forelle,Brachse,Barbe,Hecht,Aal}

@data
0.829172,-0.466065,1.265022,0.493491,0.774541,1.042726,1.030677,1.012781,-1.077556,-0.34331,0.847935,-0.343869,1.304487,0.892154,Aal
0.502454,-0.950056,1.053818,0.252328,0.52977,0.69834,0.877353,1.188634,-0.868716,-0.34331,0.774585,-0.343869,1.332079,0.197379,Karpfen
0.472752,-1.295764,1.212221,-0.109417,0.244204,0.612243,0.902907,1.188634,-1.077556,-0.708605,0.774585,-0.343869,1.332079,0.639508,Karpfen
0.44305,-0.443018,0.684212,0.071456,0.305397,0.547671,0.877353,1.159325,-0.451036,0.87434,-0.227859,-0.343869,1.814939,0.197379,Karpfen
0.116332,-0.558254,1.317823,-0.310386,-0.122952,0.03109,0.187396,0.895546,-0.973136,0.509045,0.676786,-0.343869,1.856327,0.197379,Hecht
-1.695471,-0.189499,-1.375024,-0.652034,-1.142831,-1.733891,-1.90803,-1.712936,-0.555456,-0.465075,-0.912455,-0.343869,-1.55818,-2.518558,Hecht
-1.66577,-0.327782,-1.005417,-0.913294,-1.224421,-1.604746,-1.856922,-1.712936,0.071064,0.14375,-0.912455,-0.343869,-1.55818,-1.255331,Hecht
-1.398455,0.087067,-0.688612,-0.712325,-0.97965,-1.346456,-1.678044,-1.830171,0.071064,0.509045,-0.05671,-0.343869,-1.59267,-1.255331,Forelle
-1.339051,-1.203575,0.209004,-0.8731,-0.796072,-0.937497,-1.575828,-1.654318,0.175484,-1.56096,0.921284,-0.343869,-1.482302,0.102637,Karpfen
0.294542,1.884748,-1.427824,1.297369,1.162095,0.741388,-0.017036,-0.628511,0.279904,-1.439195,0.994634,1.164599,-0.799401,-0.434234,Karpfen
0.027227,1.170285,-1.16382,1.176787,1.060108,0.633767,0.008518,-0.071644,-1.077556,0.14375,1.336932,-0.343869,-0.219969,-0.623718,Karpfen
-0.002475,0.087067,0.57861,0.734655,0.815337,0.633767,0.059626,-0.071644,-0.973136,0.14375,1.336932,-0.343869,-0.219969,0.007895,Karpfen
-0.210387,-1.779755,0.789814,-0.61184,-0.30653,0.009566,0.008518,-0.15957,-0.764296,-0.34331,0.481187,-0.343869,-0.226867,0.639508,Barbe
-0.210387,-1.779755,0.789814,-0.61184,-0.30653,0.009566,0.008518,-0.15957,-0.764296,-0.34331,0.481187,-0.343869,-0.226867,0.639508,Barbe
0.769769,2.530069,-1.533426,2.061053,1.916806,1.47321,0.698475,0.133518,1.010843,-0.221545,1.312482,-0.343869,-0.206173,-0.434234,Karpfen
1.066786,0.478869,0.737013,1.397854,1.590445,1.688452,1.107339,0.309371,-0.868716,-0.221545,1.336932,-0.343869,-0.199275,0.639508,Brachse
1.452908,3.475004,-1.850232,3.407548,2.630721,1.645403,1.158447,0.455914,-0.346616,0.87434,1.141333,-0.343869,-0.192377,-2.329074,Karpfen
1.542013,3.359768,-1.797431,3.12619,2.630721,1.796072,1.184001,0.485223,0.279904,2.09199,1.141333,-0.343869,-0.192377,-1.792202,Brachse
0.413349,-0.212546,-0.160603,0.312619,0.325795,0.397001,0.647367,0.80762,1.950623,-0.465075,-0.178959,-0.343869,-0.144091,0.007895,Karpfen
0.205437,0.040973,-0.0022,0.754752,0.794939,0.784436,0.621813,0.719694,-0.555456,0.14375,-0.03226,-0.343869,-0.075111,0.197379,Karpfen
0.502454,0.524964,0.050601,0.17194,0.244204,0.547671,0.928461,0.80762,0.697583,1.11787,-1.768201,-0.278283,0.462932,0.639508,Aal
0.472752,0.386681,0.209004,0.031262,0.121819,0.483098,0.954015,0.80762,0.175484,0.752575,-1.768201,-0.278283,0.462932,1.271122,Aal
0.888576,0.571058,0.314605,1.116497,1.284481,1.387113,1.081785,0.866237,-0.033356,0.14375,0.725686,-0.343869,0.46983,0.639508,Brachse
0.858874,1.262474,-0.847014,1.196884,1.03971,0.913581,1.158447,1.393796,-0.242196,0.14375,-0.399008,-0.343869,1.125139,-1.255331,Brachse
0.858874,1.262474,-0.847014,1.196884,1.03971,0.913581,1.158447,1.393796,-0.242196,0.14375,-0.399008,-0.343869,1.125139,-1.129009,Brachse
0.947979,0.202303,1.476225,0.413104,0.794939,1.128823,1.209555,1.393796,0.279904,-0.09978,-0.13006,0.7055,1.132037,-0.623718,Karpfen
0.858874,-0.143405,1.15942,-0.430968,-0.204542,0.353953,1.107339,1.423104,-0.764296,0.87434,-1.499252,0.607122,1.138935,0.828992,Aal
0.116332,0.133162,-0.319005,-0.069223,-0.041362,-0.098055,-0.4259,-0.628511,0.175484,1.11787,-0.496808,-0.343869,-0.792503,0.007895,Karpfen
1.096487,-0.489113,0.789814,0.011165,0.162614,0.310905,0.34072,0.133518,-0.973136,-0.221545,1.141333,-0.343869,-0.247561,0.828992,Karpfen
1.334101,0.663247,0.050601,0.855236,0.998915,1.107299,0.928461,0.602458,0.593163,-1.682725,1.361382,-0.343869,-0.123397,0.828992,Karpfen
1.601416,0.617153,0.525809,0.393007,0.570566,0.95663,1.235109,0.80762,-0.346616,0.265515,0.358938,-0.343869,-0.109601,1.902735,Aal
1.126189,0.040973,1.265022,-0.209901,-0.061759,0.246332,0.672921,0.661076,-0.868716,-0.34331,-0.13006,4.279914,0.476728,1.460606,Aal
1.126189,0.040973,1.265022,-0.209901,-0.061759,0.246332,0.672921,0.661076,-0.868716,-0.34331,-0.13006,4.279914,0.476728,1.460606,Aal
1.096487,-0.166452,1.317823,-0.35058,-0.184145,0.203284,0.672921,0.661076,-0.868716,-0.34331,-0.13006,4.279914,0.476728,1.902735,Aal
0.205437,0.294492,0.895415,-0.189804,-0.14335,0.009566,0.366274,0.719694,2.368303,1.239635,-0.741306,1.394149,1.242405,-0.623718,Karpfen
0.294542,0.663247,0.525809,0.453298,0.570566,0.44005,0.238504,0.690385,-0.868716,0.021985,0.725686,-0.343869,1.318283,-0.623718,Karpfen
-0.745017,-1.226623,0.948216,-0.953488,-0.673687,-0.571586,-0.349238,0.543841,-0.764296,0.509045,-0.350108,-0.343869,1.835633,-0.434234,Karpfen
-0.745017,-1.226623,0.948216,-0.953488,-0.673687,-0.571586,-0.349238,0.543841,-0.764296,0.509045,-0.350108,-0.343869,1.835633,-0.434234,Hecht
-0.804421,0.22535,0.420207,-0.209901,-0.347325,-0.571586,-0.374792,0.485223,-0.555456,-0.34331,-1.401453,-0.343869,1.842531,-1.255331,Karpfen
