
@RELATION AngelDaten
@ATTRIBUTE 0_wasser_temperatur NUMERIC
@ATTRIBUTE 0_luft_temperatur NUMERIC
@ATTRIBUTE 0_relative_luft_feuchte NUMERIC
@ATTRIBUTE 0_boden_temperatur_5cm NUMERIC
@ATTRIBUTE 0_boden_temperatur_10cm NUMERIC
@ATTRIBUTE 0_boden_temperatur_20cm NUMERIC
@ATTRIBUTE 0_boden_temperatur_50cm NUMERIC
@ATTRIBUTE 0_boden_temperatur_100cm NUMERIC
@ATTRIBUTE 0_wind_staerke NUMERIC
@ATTRIBUTE 0_wind_richtung NUMERIC
@ATTRIBUTE 0_sonnen_stunden NUMERIC
@ATTRIBUTE 0_niederschlag_menge NUMERIC
@ATTRIBUTE datum_monat_tag NUMERIC
@ATTRIBUTE fangzeit_24_stunden NUMERIC
@ATTRIBUTE class {Karpfen, Forelle, Brachse, Barbe, Hecht, Aal}

@DATA
18.5,10.6,85.0,20.7,22.8,22.9,19.0,15.7,1.0,130.0,11.2,0.0,605,2000,Barbe
21.8,29.3,41.0,34.0,33.7,29.7,21.7,16.7,2.7,140.0,14.6,0.0,608,1830,Karpfen
22.8,20.4,84.0,30.7,32.1,30.7,23.3,17.3,0.9,140.0,14.7,0.0,609,2000,Brachse
24.1,33.4,35.0,40.7,37.2,30.5,23.5,17.8,1.4,230.0,13.9,0.0,610,1530,Karpfen
24.4,32.9,36.0,39.3,37.2,31.2,23.6,17.9,2.0,330.0,13.9,0.0,610,1615,Brachse
20.6,17.4,67.0,25.3,25.9,24.7,21.5,19.0,3.6,120.0,8.5,0.0,617,1900,Karpfen
19.9,18.5,70.0,27.5,28.2,26.5,21.4,18.7,1.2,170.0,9.1,0.0,627,1930,Karpfen
20.9,20.6,71.0,24.6,25.5,25.4,22.6,19.0,2.4,250.0,2.0,0.2,705,2000,Aal
20.8,20.0,74.0,23.9,24.9,25.1,22.7,19.0,1.9,220.0,2.0,0.2,705,2100,Aal
22.2,20.8,76.0,29.3,30.6,29.3,23.2,19.2,1.7,170.0,12.2,0.0,706,2000,Brachse
22.1,23.8,54.0,29.7,29.4,27.1,23.5,21.0,1.5,170.0,7.6,0.0,801,1700,Brachse
22.1,23.8,54.0,29.7,29.4,27.1,23.5,21.0,1.5,170.0,7.6,0.0,801,1720,Brachse
22.4,19.2,98.0,25.8,28.2,28.1,23.7,21.0,2.0,150.0,8.7,3.2,802,1800,Karpfen
22.1,17.7,92.0,21.6,23.3,24.5,23.3,21.1,1.0,230.0,3.1,2.9,803,2030,Aal
19.6,18.9,64.0,23.4,24.1,22.4,17.3,14.1,1.9,250.0,7.2,0.0,523,1900,Karpfen
22.9,16.2,85.0,23.8,25.1,24.3,20.3,16.7,0.8,140.0,13.9,0.0,602,2030,Karpfen
23.7,21.2,71.0,28.0,29.2,28.0,22.6,18.3,2.3,20.0,14.8,0.0,620,2030,Karpfen
24.6,21.0,80.0,25.7,27.1,27.3,23.8,19.0,1.4,180.0,10.7,0.0,622,2200,Aal
23.0,18.5,94.0,22.7,24.0,24.0,21.6,18.5,0.9,130.0,8.7,14.1,707,2130,Aal
23.0,18.5,94.0,22.7,24.0,24.0,21.6,18.5,0.9,130.0,8.7,14.1,707,2130,Aal
22.9,17.6,95.0,22.0,23.4,23.8,21.6,18.5,0.9,130.0,8.7,14.1,707,2200,Aal
19.9,19.6,87.0,22.8,23.6,22.9,20.4,18.7,4.0,260.0,6.2,5.3,818,1800,Karpfen
20.2,21.2,80.0,26.0,27.1,24.9,19.9,18.6,0.9,160.0,12.2,0.0,829,1800,Karpfen
16.7,13.0,88.0,19.0,21.0,20.2,17.6,18.1,1.0,200.0,7.8,0.0,904,1830,Karpfen
16.7,13.0,88.0,19.0,21.0,20.2,17.6,18.1,1.0,200.0,7.8,0.0,904,1830,Hecht
16.5,19.3,78.0,22.7,22.6,20.2,17.5,17.9,1.2,130.0,3.5,0.0,905,1700,Karpfen
