@relation AngelDaten-weka.filters.unsupervised.attribute.Discretize-B20-M-1.0-Rfirst-last-precision6-unset-class-temporarily

@attribute 0_wasser_temperatur {'\'(-inf-8.83]\'','\'(8.83-9.66]\'','\'(9.66-10.49]\'','\'(10.49-11.32]\'','\'(11.32-12.15]\'','\'(12.15-12.98]\'','\'(12.98-13.81]\'','\'(13.81-14.64]\'','\'(14.64-15.47]\'','\'(15.47-16.3]\'','\'(16.3-17.13]\'','\'(17.13-17.96]\'','\'(17.96-18.79]\'','\'(18.79-19.62]\'','\'(19.62-20.45]\'','\'(20.45-21.28]\'','\'(21.28-22.11]\'','\'(22.11-22.94]\'','\'(22.94-23.77]\'','\'(23.77-inf)\''}
'\'(17.96-18.79]\'','\'(16.6-17.8]\'','\'(91.1-94.55]\'','\'(21.72-23.18]\'','\'(22.68-24]\'','\'(20.985-22.12]\'','\'(17.71-18.58]\'','\'(15.02-15.78]\'','\'(-inf-0.71]\'','\'(128.5-144]\'','\'(6.04-6.77]\'','\'(-inf-0.705]\'','\'(613-642.4]\'','\'(2095-2130]\'',Brachse
'\'(20.45-21.28]\'','\'(22.6-23.8]\'','\'(63.5-66.95]\'','\'(27.56-29.02]\'','\'(26.64-27.96]\'','\'(24.39-25.525]\'','\'(19.45-20.32]\'','\'(15.78-16.54]\'','\'(1.34-1.55]\'','\'(221.5-237]\'','\'(9.69-10.42]\'','\'(-inf-0.705]\'','\'(613-642.4]\'','\'(1920-1955]\'',Karpfen
'\'(18.79-19.62]\'','\'(17.8-19]\'','\'(63.5-66.95]\'','\'(23.18-24.64]\'','\'(24-25.32]\'','\'(22.12-23.255]\'','\'(16.84-17.71]\'','\'(13.5-14.26]\'','\'(1.76-1.97]\'','\'(237-252.5]\'','\'(6.77-7.5]\'','\'(-inf-0.705]\'','\'(495.4-524.8]\'','\'(1885-1920]\'',Karpfen
'\'(22.11-22.94]\'','\'(15.4-16.6]\'','\'(84.2-87.65]\'','\'(23.18-24.64]\'','\'(24-25.32]\'','\'(23.255-24.39]\'','\'(19.45-20.32]\'','\'(16.54-17.3]\'','\'(0.71-0.92]\'','\'(128.5-144]\'','\'(13.34-14.07]\'','\'(-inf-0.705]\'','\'(583.6-613]\'','\'(2025-2060]\'',Karpfen
'\'(22.94-23.77]\'','\'(20.2-21.4]\'','\'(70.4-73.85]\'','\'(27.56-29.02]\'','\'(27.96-29.28]\'','\'(27.795-28.93]\'','\'(22.06-22.93]\'','\'(18.06-18.82]\'','\'(2.18-2.39]\'','\'(-inf-35.5]\'','\'(14.07-inf)\'','\'(-inf-0.705]\'','\'(613-642.4]\'','\'(2025-2060]\'',Karpfen
'\'(23.77-inf)\'','\'(20.2-21.4]\'','\'(80.75-84.2]\'','\'(26.1-27.56]\'','\'(26.64-27.96]\'','\'(26.66-27.795]\'','\'(22.93-inf)\'','\'(18.82-19.58]\'','\'(1.34-1.55]\'','\'(159.5-175]\'','\'(10.42-11.15]\'','\'(-inf-0.705]\'','\'(613-642.4]\'','\'(2130-2165]\'',Aal
'\'(12.98-13.81]\'','\'(14.2-15.4]\'','\'(56.6-60.05]\'','\'(17.34-18.8]\'','\'(17.4-18.72]\'','\'(15.31-16.445]\'','\'(11.62-12.49]\'','\'(9.7-10.46]\'','\'(2.81-3.02]\'','\'(113-128.5]\'','\'(10.42-11.15]\'','\'(-inf-0.705]\'','\'(495.4-524.8]\'','\'(1920-1955]\'',Barbe
'\'(18.79-19.62]\'','\'(14.2-15.4]\'','\'(87.65-91.1]\'','\'(18.8-20.26]\'','\'(21.36-22.68]\'','\'(20.985-22.12]\'','\'(20.32-21.19]\'','\'(18.82-19.58]\'','\'(0.92-1.13]\'','\'(237-252.5]\'','\'(2.39-3.12]\'','\'(2.82-3.525]\'','\'(789.4-818.8]\'','\'(1920-1955]\'',Karpfen
'\'(18.79-19.62]\'','\'(15.4-16.6]\'','\'(66.95-70.4]\'','\'(18.8-20.26]\'','\'(20.04-21.36]\'','\'(20.985-22.12]\'','\'(20.32-21.19]\'','\'(18.82-19.58]\'','\'(0.71-0.92]\'','\'(314.5-inf)\'','\'(2.39-3.12]\'','\'(2.82-3.525]\'','\'(789.4-818.8]\'','\'(1990-2025]\'',Barbe
'\'(20.45-21.28]\'','\'(16.6-17.8]\'','\'(87.65-91.1]\'','\'(26.1-27.56]\'','\'(26.64-27.96]\'','\'(25.525-26.66]\'','\'(21.19-22.06]\'','\'(18.82-19.58]\'','\'(1.13-1.34]\'','\'(113-128.5]\'','\'(12.61-13.34]\'','\'(-inf-0.705]\'','\'(818.8-848.2]\'','\'(1920-1955]\'',Karpfen
